Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Block Grant,Amount (HK$ million),69,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,HKSAR Government,Amount (HK$ million),52,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong — other,Amount (HK$ million),41,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),2,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong Industry,Amount (HK$ million),19,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Non-HK,Amount (HK$ million),18,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Other RGC Grants,Amount (HK$ million),120,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,Other UGC Grants,Amount (HK$ million),7,
2010/11,The Hong Kong University of Science and Technology,Research grants,New,RGC Direct,Amount (HK$ million),7,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Block Grant,Amount (HK$ million),279,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,HKSAR Government,Amount (HK$ million),232,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong — other,Amount (HK$ million),135,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),11,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),47,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Non-HK,Amount (HK$ million),53,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Other RGC Grants,Amount (HK$ million),437,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,Other UGC Grants,Amount (HK$ million),72,
2010/11,The Hong Kong University of Science and Technology,Research grants,On-going,RGC Direct,Amount (HK$ million),29,
2010/11,The University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),28,
2010/11,The University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),1,
2010/11,The University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2010/11,The University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),3,
2010/11,The University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),4,
2010/11,The University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),235,
2010/11,The University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),84,
2010/11,The University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),12,
2010/11,The University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),351,
2010/11,The University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),190,
2010/11,The University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),40,
2010/11,The University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),69,
2010/11,The University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),56,
2010/11,The University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),99,
2010/11,The University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),13,
2010/11,The University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),9,
2010/11,The University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),181,
2010/11,The University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),118,
2010/11,The University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),14,
2010/11,The University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),239,
2010/11,The University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),508,
2010/11,The University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),1084,
2010/11,The University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),1432,
2010/11,The University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),336,
2010/11,The University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),243,
2010/11,The University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),618,
2010/11,The University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),1294,
2010/11,The University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),38,
2011/12,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,7,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,13,
2011/12,City University of Hong Kong,Research contracts,New,HKSAR Government,Number,1,
2011/12,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,11,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,2,
2011/12,City University of Hong Kong,Research contracts,New,Hong Kong — other,Number,16,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,26,
2011/12,City University of Hong Kong,Research contracts,New,Non-HK,Number,11,
2011/12,City University of Hong Kong,Research contracts,On-going,Non-HK,Number,29,
2011/12,City University of Hong Kong,Research grants,New,Block Grant,Number,183,
2011/12,City University of Hong Kong,Research grants,On-going,Block Grant,Number,668,
2011/12,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,4,
2011/12,City University of Hong Kong,Research grants,New,RGC Direct,Number,57,
2011/12,City University of Hong Kong,Research grants,On-going,RGC Direct,Number,179,
2011/12,City University of Hong Kong,Research grants,New,Other RGC Grants,Number,112,
2011/12,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,456,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,4,
2011/12,City University of Hong Kong,Research grants,New,HKSAR Government,Number,24,
2011/12,City University of Hong Kong,Research grants,On-going,HKSAR Government,Number,60,
2011/12,City University of Hong Kong,Research grants,New,Hong Kong Industry,Number,1,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,14,
2011/12,City University of Hong Kong,Research grants,New,Hong Kong — other,Number,23,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,78,
2011/12,City University of Hong Kong,Research grants,New,Non-HK,Number,3,
2011/12,City University of Hong Kong,Research grants,On-going,Non-HK,Number,7,
2011/12,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Number,2,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Number,17,
2011/12,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Number,7,
2011/12,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Number,37,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Number,3,
2011/12,Hong Kong Baptist University,Research contracts,New,Hong Kong — other,Number,1,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Number,14,
2011/12,Hong Kong Baptist University,Research contracts,New,Non-HK,Number,4,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Number,23,
2011/12,Hong Kong Baptist University,Research grants,New,Block Grant,Number,111,
2011/12,Hong Kong Baptist University,Research grants,On-going,Block Grant,Number,359,
2011/12,Hong Kong Baptist University,Research grants,On-going,Other UGC Grants,Number,5,
2011/12,Hong Kong Baptist University,Research grants,New,RGC Direct,Number,72,
2011/12,Hong Kong Baptist University,Research grants,On-going,RGC Direct,Number,227,
2011/12,Hong Kong Baptist University,Research grants,New,Other RGC Grants,Number,47,
2011/12,Hong Kong Baptist University,Research grants,On-going,Other RGC Grants,Number,193,
2011/12,Hong Kong Baptist University,Research grants,New,HKSAR Government,Number,12,
2011/12,Hong Kong Baptist University,Research grants,On-going,HKSAR Government,Number,29,
2011/12,Hong Kong Baptist University,Research grants,New,Hong Kong — other,Number,14,
2011/12,Hong Kong Baptist University,Research grants,On-going,Hong Kong — other,Number,24,
2011/12,Hong Kong Baptist University,Research grants,New,Non-HK,Number,2,
2011/12,Hong Kong Baptist University,Research grants,On-going,Non-HK,Number,5,
2011/12,Lingnan University,Research grants,New,Block Grant,Number,20,
2011/12,Lingnan University,Research grants,On-going,Block Grant,Number,58,
2011/12,Lingnan University,Research grants,On-going,Other UGC Grants,Number,1,
2011/12,Lingnan University,Research grants,New,RGC Direct,Number,30,
2011/12,Lingnan University,Research grants,On-going,RGC Direct,Number,77,
2011/12,Lingnan University,Research grants,New,Other RGC Grants,Number,7,
2011/12,Lingnan University,Research grants,On-going,Other RGC Grants,Number,20,
2011/12,Lingnan University,Research grants,On-going,Hong Kong charities/foundations,Number,3,
2011/12,Lingnan University,Research grants,New,HKSAR Government,Number,2,
2011/12,Lingnan University,Research grants,On-going,HKSAR Government,Number,12,
2011/12,Lingnan University,Research grants,New,Hong Kong Industry,Number,3,
2011/12,Lingnan University,Research grants,On-going,Hong Kong Industry,Number,7,
2011/12,Lingnan University,Research grants,New,Hong Kong — other,Number,1,
2011/12,Lingnan University,Research grants,On-going,Hong Kong — other,Number,4,
2011/12,Lingnan University,Research grants,On-going,Non-HK,Number,7,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,5,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,14,
2011/12,The Chinese University of Hong Kong,Research contracts,New,HKSAR Government,Number,70,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,193,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,48,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,193,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong — other,Number,12,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,30,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Non-HK,Number,34,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Non-HK,Number,92,
2011/12,The Chinese University of Hong Kong,Research grants,New,Block Grant,Number,636,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Number,865,
2011/12,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Number,1,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,9,
2011/12,The Chinese University of Hong Kong,Research grants,New,RGC Direct,Number,271,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,RGC Direct,Number,691,
2011/12,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Number,188,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,679,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,51,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,134,
2011/12,The Chinese University of Hong Kong,Research grants,New,HKSAR Government,Number,73,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Number,215,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Number,5,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,64,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Number,115,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,264,
2011/12,The Chinese University of Hong Kong,Research grants,New,Non-HK,Number,14,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Number,57,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,1,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,9,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,1,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,1,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong — other,Number,1,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,2,
2011/12,The Education University of Hong Kong,Research contracts,New,Non-HK,Number,1,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Non-HK,Number,2,
2011/12,The Education University of Hong Kong,Research grants,New,Block Grant,Number,64,
2011/12,The Education University of Hong Kong,Research grants,On-going,Block Grant,Number,150,
2011/12,The Education University of Hong Kong,Research grants,New,Other UGC Grants,Number,3,
2011/12,The Education University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,5,
2011/12,The Education University of Hong Kong,Research grants,New,RGC Direct,Number,38,
2011/12,The Education University of Hong Kong,Research grants,On-going,RGC Direct,Number,61,
2011/12,The Education University of Hong Kong,Research grants,New,Other RGC Grants,Number,17,
2011/12,The Education University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,41,
2011/12,The Education University of Hong Kong,Research grants,New,HKSAR Government,Number,5,
2011/12,The Education University of Hong Kong,Research grants,On-going,HKSAR Government,Number,25,
2011/12,The Education University of Hong Kong,Research grants,New,Hong Kong — other,Number,2,
2011/12,The Education University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,3,
2011/12,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong charities/foundations,Number,5,
2011/12,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong charities/foundations,Number,15,
2011/12,The Hong Kong Polytechnic University,Research contracts,New,HKSAR Government,Number,74,
2011/12,The Hong Kong Polytechnic University,Research contracts,On-going,HKSAR Government,Number,177,
2011/12,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong Industry,Number,121,
2011/12,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong Industry,Number,242,
2011/12,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong — other,Number,15,
2011/12,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong — other,Number,26,
2011/12,The Hong Kong Polytechnic University,Research contracts,New,Non-HK,Number,52,
2011/12,The Hong Kong Polytechnic University,Research contracts,On-going,Non-HK,Number,108,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Block Grant,Number,254,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Block Grant,Number,1094,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Other UGC Grants,Number,2,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Other UGC Grants,Number,31,
2011/12,The Hong Kong Polytechnic University,Research grants,New,RGC Direct,Number,97,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,RGC Direct,Number,445,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Other RGC Grants,Number,124,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Other RGC Grants,Number,403,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Hong Kong charities/foundations,Number,8,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong charities/foundations,Number,34,
2011/12,The Hong Kong Polytechnic University,Research grants,New,HKSAR Government,Number,20,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,HKSAR Government,Number,58,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Hong Kong Industry,Number,14,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong Industry,Number,33,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Hong Kong — other,Number,72,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong — other,Number,202,
2011/12,The Hong Kong Polytechnic University,Research grants,New,Non-HK,Number,16,
2011/12,The Hong Kong Polytechnic University,Research grants,On-going,Non-HK,Number,56,
2011/12,The Hong Kong University of Science and Technology,Research contracts,On-going,HKSAR Government,Number,4,
2011/12,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong Industry,Number,127,
2011/12,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong Industry,Number,939,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Block Grant,Number,239,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Block Grant,Number,581,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Other UGC Grants,Number,9,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Other UGC Grants,Number,47,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,RGC Direct,Number,86,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,RGC Direct,Number,306,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Other RGC Grants,Number,175,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Other RGC Grants,Number,524,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong charities/foundations,Number,10,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong charities/foundations,Number,22,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,HKSAR Government,Number,29,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,HKSAR Government,Number,90,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong Industry,Number,5,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong Industry,Number,65,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong — other,Number,13,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong — other,Number,66,
2011/12,The Hong Kong University of Science and Technology,Research grants,New,Non-HK,Number,58,
2011/12,The Hong Kong University of Science and Technology,Research grants,On-going,Non-HK,Number,178,
2011/12,The University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,8,
2011/12,The University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,30,
2011/12,The University of Hong Kong,Research contracts,New,HKSAR Government,Number,33,
2011/12,The University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,198,
2011/12,The University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,15,
2011/12,The University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,131,
2011/12,The University of Hong Kong,Research contracts,New,Hong Kong — other,Number,5,
2011/12,The University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,167,
2011/12,The University of Hong Kong,Research contracts,New,Non-HK,Number,20,
2011/12,The University of Hong Kong,Research contracts,On-going,Non-HK,Number,104,
2011/12,The University of Hong Kong,Research grants,New,Block Grant,Number,453,
2011/12,The University of Hong Kong,Research grants,On-going,Block Grant,Number,1070,
2011/12,The University of Hong Kong,Research grants,New,Other UGC Grants,Number,67,
2011/12,The University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,515,
2011/12,The University of Hong Kong,Research grants,New,RGC Direct,Number,155,
2011/12,The University of Hong Kong,Research grants,On-going,RGC Direct,Number,514,
2011/12,The University of Hong Kong,Research grants,New,Other RGC Grants,Number,249,
2011/12,The University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,790,
2011/12,The University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,102,
2011/12,The University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,730,
2011/12,The University of Hong Kong,Research grants,New,HKSAR Government,Number,110,
2011/12,The University of Hong Kong,Research grants,On-going,HKSAR Government,Number,405,
2011/12,The University of Hong Kong,Research grants,New,Hong Kong Industry,Number,19,
2011/12,The University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,239,
2011/12,The University of Hong Kong,Research grants,New,Hong Kong — other,Number,54,
2011/12,The University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,683,
2011/12,The University of Hong Kong,Research grants,New,Non-HK,Number,26,
2011/12,The University of Hong Kong,Research grants,On-going,Non-HK,Number,183,
2011/12,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),2,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),5,
2011/12,City University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),7,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),1,
2011/12,City University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),4,
2011/12,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),7,
2011/12,City University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),8,
2011/12,City University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),22,
2011/12,City University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),65,
2011/12,City University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),304,
2011/12,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),47,
2011/12,City University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),9,
2011/12,City University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),30,
2011/12,City University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),64,
2011/12,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),274,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),7,
2011/12,City University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),28,
2011/12,City University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),89,
2011/12,City University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),12,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),52,
2011/12,City University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),5,
2011/12,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),44,
2011/12,City University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),2,
2011/12,City University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),3,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),2,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),8,
2011/12,The Chinese University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),56,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),296,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),19,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),120,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),4,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),25,
2011/12,The Chinese University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),24,
2011/12,The Chinese University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),83,
2011/12,The Chinese University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),51,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),393,
2011/12,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),10,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),106,
2011/12,The Chinese University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),13,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),36,
2011/12,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),187,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),610,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),48,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),226,
2011/12,The Chinese University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),118,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),321,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),1,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),92,
2011/12,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),14,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),285,
2011/12,The Chinese University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),12,
2011/12,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),66,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),5,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),1,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),1,
2011/12,The Education University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),3,
2011/12,The Education University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),3,
2011/12,The Education University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),5,
2011/12,The Education University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),17,
2011/12,The Education University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),3,
2011/12,The Education University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),6,
2011/12,The Education University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),12,
2011/12,The Education University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),32,
2011/12,The Education University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),1,
2011/12,The Education University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),51,
2011/12,The Education University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,The Education University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),17,
2011/12,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Amount (HK$ million),4,
2011/12,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Amount (HK$ million),35,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),3,
2011/12,Hong Kong Baptist University,Research contracts,New,Hong Kong — other,Amount (HK$ million),1,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),9,
2011/12,Hong Kong Baptist University,Research contracts,New,Non-HK,Amount (HK$ million),1,
2011/12,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Amount (HK$ million),12,
2011/12,Hong Kong Baptist University,Research grants,New,Block Grant,Amount (HK$ million),13,
2011/12,Hong Kong Baptist University,Research grants,On-going,Block Grant,Amount (HK$ million),56,
2011/12,Hong Kong Baptist University,Research grants,New,Other UGC Grants,Amount (HK$ million),1,
