Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Number,128,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,46,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Number,9,
2009/10,The Chinese University of Hong Kong,Research grants,New,Non-HK,Number,15,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Number,198,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Number,5,
2009/10,The Chinese University of Hong Kong,Research grants,New,RGC Direct,Number,290,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Number,693,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Number,231,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,316,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,154,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,83,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Number,60,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,655,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,85,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,RGC Direct,Number,687,
2009/10,The Education University of Hong Kong,Research contracts,New,Hong Kong — other,Number,2,
2009/10,The Education University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,4,
2009/10,The Education University of Hong Kong,Research contracts,New,Non-HK,Number,1,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,6,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,11,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,1,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Non-HK,Number,1,
2009/10,The Education University of Hong Kong,Research grants,New,Block Grant,Number,42,
2009/10,The Education University of Hong Kong,Research grants,New,HKSAR Government,Number,10,
2009/10,The Education University of Hong Kong,Research grants,New,Hong Kong — other,Number,1,
2009/10,The Education University of Hong Kong,Research grants,New,Other RGC Grants,Number,12,
2009/10,The Education University of Hong Kong,Research grants,New,RGC Direct,Number,31,
2009/10,The Education University of Hong Kong,Research grants,On-going,Block Grant,Number,147,
2009/10,The Education University of Hong Kong,Research grants,On-going,HKSAR Government,Number,31,
2009/10,The Education University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,1,
2009/10,The Education University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,22,
2009/10,The Education University of Hong Kong,Research grants,On-going,RGC Direct,Number,58,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,HKSAR Government,Number,80,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong — other,Number,16,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong charities/foundations,Number,5,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong Industry,Number,138,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Non-HK,Number,55,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,HKSAR Government,Number,162,
